"ticker","company","price","date"
"ABSA","Absa Bank Kenya Plc","9.66","2020-10-16"
"ARM","ARM Cement Limited","5.55","2020-10-16"
"BAMB","Bamburi Cement Limited","23.20","2020-10-16"
"BAT","British American Tobacco (Kenya) Ltd.","336.00","2020-10-16"
"BERG","Crown Paints Kenya Limited","42.45","2020-10-16"
"BKG","Bank of Kigali Group Limited","13.05","2020-10-16"
"BOC","BOC Kenya Limited","56.50","2020-10-16"
"BRIT","Britam Holdings Limited","7.50","2020-10-16"
"C&G","Car and General (Kenya) Limited","24.00","2020-10-16"
"CABL","East African Cables Limited","1.50","2020-10-16"
"CARB","Carbacid Investments Limited","8.80","2020-10-16"
"CFC","Stanbic Holdings Limited","80.00","2020-10-16"
"CFCI","Liberty Kenya Holdings Limited","7.60","2020-10-16"
"CIC","CIC Insurance Group Limited","2.30","2020-10-16"
"COOP","Co-operative Bank of Kenya Limited","11.90","2020-10-16"
"DCON","Deacons (East Africa) Plc","0.45","2020-10-16"
"DTK","Diamond Trust Bank Kenya Limited","62.75","2020-10-16"
"EABL","East African Breweries Limited","163.00","2020-10-16"
"EGAD","Eaagads Limited","13.25","2020-10-16"
"EQTY","Equity Group Holdings Limited","34.90","2020-10-16"
"EVRD","Eveready East Africa Limited","0.97","2020-10-16"
"FAHR","STANLIB Fahari Income REIT","5.36","2020-10-16"
"FIRE","Sameer Africa Limited","3.50","2020-10-16"
"FTGH","Flame Tree Group Holdings Limited","1.43","2020-10-16"
"GLD","NewGold Exchange Traded Fund","1,965.00","2020-10-16"
"HAFR","Home Afrika Limited","0.44","2020-10-16"
"HFCK","Housing Finance Company Limited","3.91","2020-10-16"
"I&M","I&M Holdings Plc","43.65","2020-10-16"
"ICDC","Centum Investment Company Limited","18.50","2020-10-16"
"JUB","Jubilee Holdings Limited","275.00","2020-10-16"
"KAPC","Kapchorua Tea Company Limited","80.50","2020-10-16"
"KCB","KCB Bank Kenya Limited","37.50","2020-10-16"
"KEGN","Kenya Electricity Generating Co. Ltd.","5.00","2020-10-16"
"KNRE","Kenya Re-Insurance Corporation Ltd","2.27","2020-10-16"
"KPLC","Kenya Power & Lighting Co. Limited","1.75","2020-10-16"
"KPLC-P4","Kenya Power Pref. Shares at 4%","5.00","2020-10-16"
"KPLC-P7","Kenya Power Pref. Shares at 7%","6.00","2020-10-16"
"KQ","Kenya Airways Limited","3.83","2020-10-16"
"KUKZ","Kakuzi Limited","380.00","2020-10-16"
"KURV","Kurwitu Ventures Limited","1,500.00","2020-10-16"
"LIMT","Limuru Tea Company Limited","400.00","2020-10-16"
"LKL","Longhorn Publishers Limited","4.65","2020-10-16"
"MSC","Mumias Sugar Company Limited","0.28","2020-10-16"
"NBK","National Bank of Kenya Limited","4.12","2020-10-16"
"NBV","Nairobi Business Ventures Ltd","0.71","2020-10-16"
